n,time
71000,0.04
71100,0.04
71200,0.032
71300,0.032
71400,0.032
71500,0.04
71600,0.04
71700,0.04
71800,0.04
71900,0.04
72000,0.04
72100,0.04
72200,0.032
72300,0.04
72400,0.04
72500,0.064
72600,0.039
72700,0.04
72800,0.04
72900,0.04
73000,0.032
73100,0.032
73200,0.032
73300,0.042
73400,0.032
73500,0.04
73600,0.04
73700,0.04
73800,0.032
73900,0.032
74000,0.04
74100,0.04
74200,0.04
74300,0.032
74400,0.04
74500,0.04
74600,0.04
74700,0.04
74800,0.04
74900,0.032
75000,0.04
75100,0.04
75200,0.04
75300,0.032
75400,0.041
75500,0.041
75600,0.032
75700,0.04
75800,0.04
75900,0.04
76000,0.04
76100,0.039
76200,0.039
76300,0.041
76400,0.039
76500,0.039
76600,0.032
76700,0.04
76800,0.039
76900,0.04
77000,0.041
77100,0.033
77200,0.041
77300,0.048
77400,0.04
77500,0.04
77600,0.04
77700,0.04
77800,0.033
77900,0.032
78000,0.04
78100,0.032
78200,0.04
78300,0.04
78400,0.032
78500,0.04
78600,0.04
78700,0.04
78800,0.04
78900,0.032
79000,0.04
79100,0.032
79200,0.04
79300,0.04
79400,0.04
79500,0.04
79600,0.032
79700,0.04
79800,0.04
79900,0.04
80000,0.04
80100,0.04
80200,0.04
80300,0.04
80400,0.038
80500,0.04
80600,0.04
80700,0.04
80800,0.033
80900,0.04
81000,0.04
81100,0.04
81200,0.04
81300,0.04
81400,0.04
81500,0.048
81600,0.048
81700,0.04
81800,0.04
81900,0.04
82000,0.04
82100,0.04
82200,0.04
82300,0.04
82400,0.056
82500,0.048
82600,0.04
82700,0.04
82800,0.064
82900,0.04
83000,0.04
83100,0.04
83200,0.032
83300,0.04
83400,0.04
83500,0.04
83600,0.048
83700,0.048
83800,0.048
83900,0.037
84000,0.04
84100,0.04
84200,0.04
84300,0.04
84400,0.04
84500,0.04
84600,0.04
84700,0.04
84800,0.04
84900,0.048
85000,0.04
85100,0.04
85200,0.04
85300,0.056
85400,0.041
85500,0.04
85600,0.048
85700,0.039
85800,0.048
85900,0.04
86000,0.04
86100,0.048
86200,0.048
86300,0.04
86400,0.04
86500,0.048
86600,0.048
86700,0.04
86800,0.04
86900,0.04
87000,0.048
87100,0.048
87200,0.04
87300,0.04
87400,0.04
87500,0.04
87600,0.04
87700,0.072
87800,0.048
87900,0.048
88000,0.04
88100,0.04
88200,0.04
88300,0.048
88400,0.04
88500,0.04
88600,0.04
88700,0.041
88800,0.04
88900,0.041
89000,0.04
89100,0.04
89200,0.04
89300,0.04
89400,0.04
89500,0.04
89600,0.04
89700,0.048
89800,0.048
89900,0.048
90000,0.04
90100,0.04
90200,0.04
90300,0.04
90400,0.041
90500,0.04
90600,0.04
90700,0.04
90800,0.04
90900,0.04
91000,0.04
91100,0.048
91200,0.048
91300,0.04
91400,0.04
91500,0.04
91600,0.04
91700,0.04
91800,0.04
91900,0.04
92000,0.04
92100,0.048
92200,0.048
92300,0.048
92400,0.048
92500,0.048
92600,0.04
92700,0.04
92800,0.048
92900,0.048
93000,0.048
93100,0.048
93200,0.048
93300,0.04
93400,0.04
93500,0.04
93600,0.04
93700,0.04
93800,0.048
93900,0.048
94000,0.048
94100,0.048
94200,0.048
94300,0.04
94400,0.04
94500,0.048
94600,0.048
94700,0.072
94800,0.04
94900,0.072
95000,0.048
95100,0.04
95200,0.04
95300,0.04
95400,0.048
95500,0.048
95600,0.048
95700,0.041
95800,0.048
95900,0.048
96000,0.048
96100,0.048
96200,0.04
96300,0.048
96400,0.04
96500,0.048
96600,0.048
96700,0.048
96800,0.04
96900,0.04
97000,0.048
97100,0.048
97200,0.048
97300,0.045
97400,0.048
97500,0.048
97600,0.048
97700,0.048
97800,0.048
97900,0.041
98000,0.04
98100,0.04
98200,0.048
98300,0.047
98400,0.048
98500,0.04
98600,0.04
98700,0.048
98800,0.048
98900,0.048
99000,0.048
99100,0.04
99200,0.04
99300,0.048
99400,0.048
99500,0.048
99600,0.04
99700,0.048
99800,0.048
99900,0.048
100000,0.04
