n, time
64300,2.680604
64400,2.673864
64500,2.68646
64600,2.702049
64700,2.712389
64800,2.705461
64900,2.723852
65000,2.734826
65100,2.769864
65200,2.757699
65300,2.790617
65400,2.790418
65500,2.776283
65600,2.793095
65700,2.803283
65800,2.78703
65900,2.889456
66000,2.868631
66100,2.845322
66200,2.823675
66300,2.845695
66400,2.846345
66500,3.367069
66600,3.446709
66700,3.367568
66800,3.361825
66900,4.136275
67000,3.222632
67100,3.802053
67200,3.262887
67300,3.018456
67400,3.014145
67500,3.03649
67600,3.039094
67700,3.216391
67800,3.090025
67900,3.046944
68000,3.091813
68100,3.080549
68200,3.076146
68300,3.06959
68400,3.116468
68500,3.041754
68600,3.0933
68700,3.144403
68800,3.377265
68900,3.103203
69000,3.117686
69100,3.368008
69200,3.192311
69300,3.129242
69400,3.219572
69500,3.724878
69600,3.683947
69700,3.576857
69800,3.602598
69900,3.588358
70000,3.686348
70100,3.589439
70200,4.520791
70300,4.830773
70400,3.928562
70500,3.562115
70600,3.316245
70700,3.312102
70800,3.414759
70900,3.39194
71000,3.37094
71100,3.340386
71200,3.283386
71300,3.327593
71400,3.304338
71500,3.323141
71600,3.323646
71700,3.329242
71800,3.321322
71900,3.342926
72000,3.331339
72100,3.331208
72200,3.340601
72300,3.349553
72400,3.356509
72500,3.366583
72600,3.370662
72700,3.381178
72800,3.389698
72900,3.398841
73000,3.403805
73100,3.422336
73200,3.427332
73300,3.433993
73400,3.471189
73500,3.489311
73600,3.497323
73700,3.515863
73800,3.516481
73900,3.547366
74000,3.567186
74100,3.524773
74200,3.538961
74300,3.539273
74400,3.587878
74500,3.573631
74600,3.61065
74700,3.620922
74800,3.650447
74900,3.607973
75000,3.610563
75100,3.664006
75200,3.654141
75300,3.728399
75400,3.737235
75500,3.682735
75600,3.719586
75700,3.709009
75800,3.688152
75900,3.726399
76000,3.880189
76100,4.700097
76200,4.509611
76300,4.691315
76400,4.845405
76500,4.867534
76600,4.051664
76700,3.892828
76800,3.997366
76900,3.92969
77000,3.936837
77100,3.993113
77200,3.97558
77300,4.27122
77400,4.050718
77500,4.890477
77600,4.626722
77700,4.686399
77800,4.459455
77900,4.502785
78000,4.834401
78100,5.410853
78200,4.342088
78300,4.039329
78400,4.069452
78500,4.048633
78600,4.027114
78700,4.057769
78800,4.076358
78900,4.07842
79000,4.143558
79100,4.061922
79200,4.061726
79300,4.129596
79400,4.087279
79500,4.103233
79600,4.104832
79700,4.121698
79800,4.417263
79900,4.682203
80000,4.682093
80100,5.27684
80200,5.468722
80300,5.159657
80400,5.859057
80500,4.78488
80600,4.328084
80700,4.840481
80800,5.053206
80900,4.924112
81000,4.519136
81100,5.061185
81200,5.009183
81300,4.593816
81400,4.44194
81500,4.643477
81600,4.60285
81700,4.459098
81800,4.472502
81900,4.425153
82000,4.377518
82100,4.389314
82200,4.383311
82300,4.511543
82400,4.435614
82500,4.406345
82600,4.412433
82700,4.420364
82800,4.403502
82900,4.414044
83000,4.43055
83100,4.425087
83200,4.43338
83300,4.439542
83400,4.451692
83500,4.457034
83600,4.467107
83700,4.478229
83800,4.491843
83900,4.502441
84000,4.508821
84100,4.522282
84200,4.557307
84300,4.583065
84400,4.594684
84500,5.580994
84600,6.019798
84700,5.781487
84800,4.868388
84900,4.767848
85000,4.686961
85100,4.657001
85200,4.670263
85300,4.679129
85400,4.685454
85500,4.698893
85600,4.704332
85700,4.710789
85800,4.736222
85900,4.732223
86000,4.740019
86100,4.750483
86200,4.758336
86300,4.765293
86400,4.774756
86500,4.794203
86600,4.807941
86700,4.825005
86800,4.840305
86900,4.840477
87000,4.850658
87100,4.861795
87200,4.878908
87300,4.88305
87400,4.909822
87500,4.897023
87600,4.921151
87700,4.929165
87800,4.944454
87900,4.946825
88000,4.967931
88100,4.973811
88200,4.985401
88300,4.997356
88400,5.008489
88500,5.007533
88600,5.04701
88700,5.031101
88800,5.04708
88900,5.059584
89000,5.073092
89100,5.076703
89200,5.123229
89300,5.193499
89400,5.138832
89500,5.122369
89600,5.141216
89700,5.135721
